timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts_btc,output_amounts_btc,fee_btc,script_type,geo_country,asn,is_known_anomaly,tactic_type,cluster_label
1787307571,97.139.4.34,71.55.202.81,38181,8333,ae1b158cdb6548daaac5be07d7c4ea702a42b8c9fdc744e1985b33668bfe1108,bc1qh8w5lfywqmuwkd29ptcx30nzakqr3868vhsesx;bc1qug96dcy0vuvndxnzh0fwr8vxkdl66tq78z7m7n,bc1qd3swdrufz3d78dwckqlkl569lydywj4yx7dg8m;bc1q9mmdmxhsy62w8s9hn8fn4pp2gqrcmkzwfw4g4s,0.147829;0.147829,0.147733;0.147733,0.0001928,p2sh,AE,AS15169 (Google LLC),0,NORMAL,ORGANIC_RETAIL
1787307606,212.19.198.185,158.219.223.87,13452,8333,dfa2b862bbfc4813a8ff2c186b0d8af6d353fe27bcd94e768cfd97fc05e04c34,bc1qtcrcms4j07zpme6a7qwuacv27efv6c6ts0mjf8;bc1qh8eswz00qvjg3acmxfwg30spu5zvsvn0jxx22u,bc1qjphw6apuns4wuctjclhc9utrpccreunz0hxdp6;bc1qhkjlwfv5hrrh9v4gsy2yla4wfxemph60jgqc4k,0.28928;0.28928,0.289255;0.289255,4.978e-05,p2tr,GB,AS55836 (Reliance Jio),0,NORMAL,ORGANIC_RETAIL
1787307610,103.181.138.240,132.119.44.203,30940,8333,d5df8aace05447f6b31c4835b4d6a985f69c5303f2f640e1a6417561fcd6394a,bc1qmysnw6lqufygpyl67w6yf3ph0vdqzv7l2q65ax;bc1q8t49xhpl25x7fvmez3afscl07q8nwdsk0jes82,bc1qj90g4vnxv9y5fs5jjvl82zcn9pcp70qucssnm3,0.109906;0.109906,0.219575,0.00023553,p2pkh,RU,AS47583 (Hostinger VPS),0,NORMAL,ORGANIC_RETAIL
1787307628,188.36.212.180,171.14.208.155,54421,8333,4af0624ae3f64728a4b60adcf2cc7b78e5d4430d142e4ed48f891372ef27171e,bc1q8kppta9t8nvvtl7rnl85lat6xvny8f9s2xk5mp,bc1qge65s8wwxt32ep6zkkp5kqwdpwlt809hr22hcd,1.080675,1.080504,0.00017125,p2pkh,RU,AS47583 (Hostinger VPS),0,NORMAL,ORGANIC_RETAIL
1787307637,44.213.162.107,39.52.110.44,11700,8333,bc971c6b16d84defbc55877287228de524a814a525c8440782e0305d8542528f,bc1q6rjxlr7exxa3y9cdy6g9h0ufsa7nj89wksfeam;bc1qa6mple3a9qs65sf4mg8sfa8er6l975npnju3av,bc1qhae9v6y7czka36hrpztey7pkxgvkhhnu2mnk93,0.296406;0.296406,0.592699,0.00011336,p2sh,US,AS13335 (Cloudflare),0,NORMAL,ORGANIC_RETAIL
1787307645,166.89.254.93,103.166.115.175,41952,8333,12b6435115c644c79efe882b23294d47a0983f793738440f8af4a53eec8c801f,bc1qhkjlwfv5hrrh9v4gsy2yla4wfxemph60jgqc4k,bc1qm9gn6mqew5jnrl43esrlt43h58rxvxcf4t0cf9,0.124289,0.12407,0.00021948,p2pkh,RU,AS47583 (Hostinger VPS),0,NORMAL,ORGANIC_RETAIL
1787307675,190.231.23.18,47.153.126.166,17200,8333,2ec97736257c4b4596cff59d3395e2a7eb64fc10752d47008cd52c86d589d2b9,bc1qgzxl5puk5408pklagpmcxymaavuy8kg5vpmm0j;bc1qun4cudwy7pfc7r6g0y4x9j9amfacpfvjt3grc6,bc1qs408u6zy2ffletn348vv7z4emgth04rkktpfdq;bc1qfkdp6a0qe7955qudzxpe500jdnrnfzs6t8lqs0,0.431463;0.431463,0.431356;0.431356,0.00021429,p2pkh,GB,AS55836 (Reliance Jio),0,NORMAL,ORGANIC_RETAIL
1787307703,192.73.40.218,197.81.159.118,65263,8333,28d0eb39544f481aab87e4df7b8568b3d911172762704b729fa0c0d875f9a33e,bc1qcptn5yhgv6e3uufhu22ssf7j9z6ychq5q0f00p,bc1qthhjm0a6ekap3f30jm6tfxe3g0ezf0vt4q8fxw,1.495638,1.49551,0.00012783,p2tr,GB,AS55836 (Reliance Jio),0,NORMAL,ORGANIC_RETAIL
1787307717,30.86.93.234,107.229.157.156,7081,8333,83d37aa586a24eb2bd12cdc70af0f48d0d03f6aa4188400eb87233889b97f0e1,bc1qun4cudwy7pfc7r6g0y4x9j9amfacpfvjt3grc6,bc1qfwwe0qpzakjcgnlewew2c6l8dym7w9fxqhtjjm,0.042671,0.042491,0.0001802,p2pkh,RU,AS13335 (Cloudflare),0,NORMAL,ORGANIC_RETAIL
1787307718,220.184.160.129,179.253.50.186,59106,8333,7da1dd99ede543389be8b7135f0b3f86554b82bf524345b19ff41dc0df19a942,bc1qzmgfzkpjsmve42zgm69ydkhfl7ywpgmf32usp5;bc1qnln5tdxy0twux27stq4maxfwnvrdy8ru0rchhj,bc1q5gesx4y7kwduzkztkahfznce7x7w5gvyx892ac;bc1qfkdp6a0qe7955qudzxpe500jdnrnfzs6t8lqs0,0.285928;0.285928,0.285835;0.285835,0.00018775,p2wpkh,GB,AS13335 (Cloudflare),0,NORMAL,ORGANIC_RETAIL
1787307740,65.77.220.71,71.17.68.12,37609,8333,a0bca9bbcba245dea09a0f2a3bfb5c85da75cdbac6454914b05a24b1993a20ab,bc1qun4cudwy7pfc7r6g0y4x9j9amfacpfvjt3grc6;bc1q96d7q2jt4n47cpwewgzlt0uwetyqkz4v37uqpx,bc1qv7rx5zvzh7p3fm4hv9xncvzsxp3ceqt0p58evt,0.295119;0.295119,0.590089,0.00014759,p2tr,US,AS16509 (Amazon AWS),0,NORMAL,ORGANIC_RETAIL
1787307776,34.116.10.161,45.18.201.201,32197,8333,d4deeb9d55a14022b9ea2272541bb7bf459aa4f33cfa45aaa6eb1c508f1df9f0,bc1qxse997q3f364ckmuf04ys6vem5wz5gf9920k96,bc1qtcrcms4j07zpme6a7qwuacv27efv6c6ts0mjf8,0.053438,0.053266,0.00017158,p2wpkh,RU,AS9498 (Bharti Airtel),0,NORMAL,ORGANIC_RETAIL
1787307809,168.17.190.234,114.95.230.138,29278,8333,5f2db920b35d4025bb5f5e7198ed20e2aba9c677f5b4498c8bdea91fea5287ce,bc1q3qsendhm72v6q39wxpnjqht5gm29jf3zf3w45v;bc1q9qx0lpr7lkru44laq5jyrssqe3netyr4j633vu,bc1qx7yd7xd6nnv9jtctyvvn2yxacf7789vz0z44pv;bc1qg0tf93ccq2rz8cxmt9z9wmelx84qt29x7gptv6,0.226367;0.226367,0.226244;0.226244,0.00024702,p2sh,SG,AS55836 (Reliance Jio),0,NORMAL,ORGANIC_RETAIL
1787307838,61.206.75.53,43.72.37.52,18254,8333,3c12abe6e09641a695a78c57db17a4b423fe7d93cc0f4885b0d71764c9f64ab8,bc1q7feu8gz94tyac0wwwnalqp7htqzr9s7u60k693;bc1qrad0zka0nf4gv4zsvxtp6538hw5usxeu09n5vz,bc1qz79yfsqkcpfl4cr2hsahl7zc7fvtzrjq8hkmcm,0.782608;0.782608,1.565141,7.534e-05,p2pkh,RU,AS13335 (Cloudflare),0,NORMAL,ORGANIC_RETAIL
1787307873,59.35.243.24,30.146.39.89,21046,8333,ad7e48bbf8cd4ceaa1a0f8a26c52e40c49620600ff594e0b92704be3c66eedab,bc1q4x253jc7w6445kztg68m39wtl3v48wjfld7pdc,bc1qwrvwrrlvr9m3qj9np3j4y79ytzca0s2eewald5,1.63337,1.633291,7.853e-05,p2pkh,US,AS16509 (Amazon AWS),0,NORMAL,ORGANIC_RETAIL
